"condicao_metereologica"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Ignorada"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ignorada"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ignorada"
"Chuva"
"Chuva"
"Nublado"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Nublado"
"Ceu Claro"
"Sol"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Sol"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Sol"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Sol"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Chuva"
"Nublado"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Ignorada"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Chuva"
"Vento"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Sol"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Sol"
"Ceu Claro"
"Ignorada"
"Chuva"
"Nevoeiro/neblina"
"Chuva"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Sol"
"Nublado"
"Nublado"
"Sol"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Sol"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Sol"
"Chuva"
"Sol"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Sol"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Sol"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Sol"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ignorada"
"Chuva"
"Nublado"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Sol"
"Nublado"
"Sol"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Nublado"
"Sol"
"Sol"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Sol"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ignorada"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Nevoeiro/neblina"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Sol"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Sol"
"Vento"
"Sol"
"Sol"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Sol"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Sol"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Ignorada"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Sol"
"Nublado"
"Sol"
"Chuva"
"Nublado"
"Chuva"
"Sol"
"Nublado"
"Nublado"
"Sol"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Sol"
"Sol"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Sol"
"Nublado"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Sol"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Vento"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Sol"
"Chuva"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Sol"
"Chuva"
"Nublado"
"Sol"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Sol"
"Nublado"
"Ceu Claro"
"Chuva"
"Sol"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Vento"
"Sol"
"Ignorada"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Sol"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Sol"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Sol"
"Chuva"
"Nublado"
"Ceu Claro"
"Sol"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ignorada"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Ignorada"
"Sol"
"Nublado"
"Nublado"
"Chuva"
"Sol"
"Sol"
"Chuva"
"Chuva"
"Ignorada"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Sol"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Sol"
"Chuva"
"Nublado"
"Ignorada"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Sol"
"Ceu Claro"
"Sol"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Chuva"
"Sol"
"Chuva"
"Nublado"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Sol"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Sol"
"Nublado"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Sol"
"Sol"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Ignorada"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Sol"
"Chuva"
"Sol"
"Nevoeiro/neblina"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Sol"
"Ceu Claro"
"Sol"
"Sol"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Sol"
"Nevoeiro/neblina"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Sol"
"Chuva"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Ignorada"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Sol"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Nublado"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Sol"
"Ceu Claro"
"Chuva"
"Sol"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Ignorada"
"Nublado"
"Ignorada"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Nublado"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Ignorada"
"Sol"
"Nublado"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Sol"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Sol"
"Sol"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Sol"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Sol"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Sol"
"Nublado"
"Chuva"
"Sol"
"Chuva"
"Nublado"
"Chuva"
"Sol"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Sol"
"Chuva"
"Nublado"
"Sol"
"Nublado"
"Ceu Claro"
"Nublado"
"Ignorada"
"Sol"
"Nublado"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Sol"
"Nublado"
"Sol"
"Chuva"
"Chuva"
"Chuva"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Sol"
"Sol"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Sol"
"Sol"
"Nublado"
"Sol"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Ceu Claro"
